preposto	decano
concubinato	concubinaggio
lungaggine	lentezza
bobina	spagnoletta
imbroglio	baratteria
magistero	controllo
battaglio	battocchio
amaca	branda
ricupero	rinvenimento
scaramuccia	avvisaglia
intangibilità	impalpabilità
detergente	detersivo
grammofono	fonografo
metodo	condotta
statuina	statuetta
cinghia	sottopancia
comma	coma
avo	antenato
serotonina	treggia
modello	esempio
giallistica	giallo
margherita	margheritina
ballerino	danzatore
priorità	precedenza
causale	movente
boaro	bovaro
tubulare	tubolare
escreto	escremento
naviglio	nuora
credibilità	attendibilità
approvazione	consenso
travaglio	doglie
mimesi	busto
attacco	innesto
quassia	anarchismo
portata	pietanza
alimento	alimentazione
omaso	libro
piede	basso
amenità	facezia
pentimento	penitenza
ignizione	accensione
pianoforte	piano
appoggiatura	abbellimento
somiglianza	rassomiglianza
aruspice	divinatore
interpunzione	punteggiatura
carcassa	ossatura
componente	membro
quarantennale	quarantesimo
scrofa	porca
botta	freccia
alveo	letto
mira	mirino
vomito	rigurgito
autostrada	superstrada
donante	datore
grammo	gramma
aficionado	habitué
allacciatura	legatura
miau	miao
luogotenenza	tenenza
acquarellista	acquerellista
unicità	singolarità
deformazione	deformità
tenebre	oscurità
povero	indigente
cantuccio	angolo
bandierina	gagliardetto
civetta	gufo
antemurale	gettata
dispensiere	steward
telefonino	cellulare
ammortamento	ammortizzamento
ancia	linguetta
topo	sorcio
orlatura	bordura
diniego	nego
rampa	gradinata
epitelioma	epigono
posto	impiego
carpino	cappella
pantano	lessicologia
indennità	rimborso
latitanza	irreperibilità
carnevalata	bisboccia
latteria	cascina
personalità	personaggio
durezza	insensibilità
psicanalista	analista
siluro	torpedine
negro	risurrezione
giornata	dì
contingenza	carovita
mercenario	macchinetta
televisione	tivù
bauscia	smargiasso
astronauta	cosmonauta
valore	eroismo
rimborso	rifusione
eruca	bruco
irregolarità	anomalia
filatoio	filiera
municipio	comune
intonacatura	intonaco
tonsura	chierica
torcia	fiaccola
becco	imboccatura
riga	rigo
noto	austro
compagno	compagna
riviera	rallentamento
vaccinoterapia	vaccinazione
modello	abitudine
foehn	fohn
ramo	disciplina
candeliere	bugia
iconoclastia	corollario
antefissa	condotta
cartellino	bagnino
kilowattora	chilowattora
lingua	parlata
pania	amo
cosmografo	geografo
dignità	decenza
incoerenza	sconnessione
aula	anfiteatro
avidità	ardore
trovatello	esposto
decremento	diminuzione
spettro	fantasma
conquista	sottomissione
ritrovato	scoperta
prostituzione	meretricio
discesa	tuffo
piano	progettazione
laberinto	dedalo
rinascita	rinascimento
saluto	salutazione
domma	credenza
ego	egotismo
telefonata	chiamata
raffinatore	aceto
insetto	bestia
sarcofago	arca
pizzico	pizzicotto
incertezza	forse
ingordo	tellurio
mulinello	gorgo
sfida	disfida
oocita	ovocita
lepiota	bubbola
abramide	vocazione
cosa	roba
cima	cavo
cultura	episteme
marmellata	confettura
vaso	rampa
carogna	puzzone
sterzo	volante
cristalleria	cristallo
vetro	cristallo
sceneggiato	serial
imitazione	peccato
fascetta	anello
rifiuto	diniego
handicap	abbuono
buco	apertura
sfilza	filza
errore	sbaglio
bile	fiele
malizia	malvagità
barca	mucchio
canonico	canone
resto	avanzo
succhiello	succhio
casotto	cabina
disinvoltura	naturalezza
fumetto	striscia
dizionario	vocabolario
chiave	chiavetta
fila	sequela
incorporamento	incorporazione
interrato	sottoterra
fortezza	rocca
ansia	ansietà
cirro	viticcio
abbaino	solaio
scontro	cozzata
cacciagione	selvatico
fecaloma	stipsi
geto	sintonizzazione
eredità	legato
discolpa	scusante
gioia	gaudio
rabbino	rabbi
acquamanile	brocca
edulcorante	dolcificante
rendimento	produttività
rito	costume
mattonella	mattone
margine	marginatura
vicaria	vicariato
buttata	germoglio
annodatura	allacciatura
vigilia	digiuno
cordigliera	dorsale
mandarino	clementina
assoggettamento	subordinazione
tappeto	parrucchino
rayon	raion
commissione	corsa
erpete	herpes
padre	don
pregiudizio	superstizione
demolizione	abbattimento
dodecafonia	atonalità
nutria	castorino
geco	tarantolino
indolenzimento	dolenzia
pollastra	gallinella
lacciolo	laccio
atmosfera	clima
compagine	connubio
cortile	corte
esule	emigrato
tarantolismo	tarantismo
giocondità	allegria
fischione	preoccupazione
dispersione	sparpagliamento
didascalia	dicitura
rapporto	nesso
vescovado	diocesi
consommé	consumato
giudeo	israelita
fantasia	arzigogolo
parmigiano	grana
mattone	fagiolo
collaboratore	contributore
satellite	planetoide
dialogo	scapolare
freddezza	frigidità
barman	barista
tandem	posateria
risata	riso
lupacchiotto	lupetto
fard	rossetto
buonavoglia	bonavoglia
cappello	introduzione
rotocalco	rotocalcografia
disinteresse	indifferenza
fascia	cintura
riconoscenza	gratitudine
assistenza	intervento
critico	censore
indifferenza	apportatore
contraccolpo	rinculo
puntualità	regolarità
strato	stato
letto	bacino
iuta	juta
adrenalina	epinefrina
formolo	formalina
gusto	divertimento
monaca	scaldaletto
truciolo	tornitura
enumerazione	elencazione
accentramento	centralizzazione
destino	caso
bongos	bongo
velo	voile
nudismo	naturismo
alpacca	argentana
capellone	contestatore
anastomosi	abboccamento
revolver	rivoltella
rapporto	relazione
ammazzatoio	macello
convinzione	credenza
raccolta	colta
panciera	pancera
immaginativa	immaginazione
custode	sorvegliante
s	secondo
numero	originale
motosega	sega
pomo	mela
visione	grattacielo
chiodo	bulletta
casuistica	casistica
presenza	cospetto
devoluzione	cessione
divezzamento	svezzamento
fraseologia	slang
zappa	marra
scrittrice	autrice
credo	culto
palla	pallone
casetta	cottage
principio	cominciare
autorità	governo
binomio	coppia
mappamondo	globo
sandwich	tramezzino
quiete	pace
derisione	scherno
riproduzione	replica
conciliazione	accomodamento
ficcanaso	impiccione
avventore	committente
brama	ambizione
gatto	spratto
cilicio	strazio
tavolato	perlinatura
intoppo	difficoltà
padrone	padrona
bugno	arnia
maldicenza	scandalo
immobilità	calma
segnalinee	guardialinee
nottolino	arpione
liquidazione	pagamento
prenditore	catcher
serra	sierra
notizia	novella
banco	barriera
chiasmo	chiasma
burattino	marionetta
passero	passera
lazzaro	lazzero
rilegatura	copertina
yankee	nordista
deiezione	defecazione
tonfo	botto
audacia	sfrontatezza
gravimetro	areometro
esquimese	eschimese
sigla	acronimo
citazione	encomio
gheriglio	gariglio
frontiera	confine
graffiti	graffito
gente	persona
portavoce	relatore
selezione	scelta
cappio	forca
taccuino	carnet
avidità	insaziabilità
fecola	amido
mercante	negoziante
effendi	efendi
alterco	disputa
novizio	debuttante
abbozzo	scaletta
avo	nonnino
paese	nazione
affondata	picchiata
sadomasochista	sadomaso
enigma	rebus
contrapposto	opposto
esportazione	export
filettatura	filetto
compositore	autore
possibilità	caso
fata	spiritello
ingresso	entrata
armacollo	bandoliera
ghenga	ganga
alpinista	arrampicatore
barba	barbiglio
albatros	albatro
soprattassa	addizionale
pelame	pelliccia
frassinella	dittamo
colonna	pilastro
staccionata	cancellata
arrendevolezza	consenso
svantaggio	disfavore
tuberosa	efficacia
bambinaia	nurse
clan	nucleotide
habitat	ambiente
rabbia	idrofobia
brigata	compagnia
passivo	dare
zoppia	claudicazione
sud	meridione
strofa	strofe
perno	pernio
supplica	implorazione
montagna	monte
preoccupazione	interesse
cassa	banca
stimolo	sollecitazione
grafologo	tartrato
casotto	chiosco
interrogativo	dubbio
carpenteria	falegnameria
talare	tonaca
robustezza	gagliardia
granato	granata
ingaggio	reclutamento
opulenza	ricchezza
caposquadra	capo
ireos	iris
riserva	pfennig
tassidermista	impagliatore
bomba	bombolone
embolia	embolismo
revisione	aggiornamento
asciuttezza	stringatezza
putridume	decomposizione
impegno	obbligazione
automa	robot
banderuola	trasformista
cremisi	motivazione
posterità	posteri
caccia	cacciatorpediniere
nobildonna	dama
falso	adulterazione
orale	interrogazione
portalettere	postino
diritto	legge
creta	argilla
garanzia	garantia
reclusorio	penitenziario
aculeo	pungiglione
ausilio	risorsa
avvocato	guardiano
formaggio	cacio
mente	memoria
caucasico	bianco
rugiada	guazza
portafoglio	portafogli
ortogonalità	perpendicolarità
risposta	reazione
verso	rovescio
atrofia	deperimento
fonderia	tropico
agitatore	capopopolo
divo	vedette
determinatezza	esattezza
edera	ellera
editore	redattore
maturazione	scadenza
collocamento	occupazione
sostegno	adesione
fosforite	guano
remissività	arrendevolezza
anatomista	anatomico
rappresentanza	delegazione
scultore	statuario
ludibrio	zimbello
respiro	alito
annaffiatura	innaffiatura
bottoniera	occhiello
impasto	poltiglia
kermesse	sagra
confusione	casino
cittadina	villaggio
predica	sermone
cittadino	suddito
ramo	frasca
battente	batacchio
fettuccia	nastro
bocciolo	bottone
solvente	diluente
ombra	tenebra
elica	rotore
genepì	assenzio
esattore	collezionista
tappo	nanerottolo
compito	lezione
manipolazione	epilogo
belato	lagna
comodità	agio
lustro	chierico
ambientamento	adeguamento
mestiere	capacità
seminario	convegno
gola	ghiottoneria
lama	coltello
bacherozzo	verme
talassemia	microcitemia
misurazione	misura
originalità	novità
lesione	pregiudizio
harem	serraglio
slargo	spianata
sportello	portiera
talea	viola
consapevolezza	foulard
attività	azione
bontà	eccellenza
manna	provvidenza
sbirro	poliziotto
match	combattimento
autoctono	aborigeno
novelletta	novella
dimostrante	manifestante
mangusta	mangosta
aspide	serpe
licenziamento	congedo
neocortex	neocorteccia
bruma	caligine
manganella	bastone
cattolico	nomenclatura
sgabuzzino	ripostiglio
commutatore	centralino
mancanza	assenza
peste	terremoto
calcolo	conteggio
capienza	capacità
bisonte	uro
annichilamento	annichilazione
pennello	finanza
cartoteca	atlante
mutazione	mutamento
malore	collasso
bordo	margine
urto	tamponamento
ascensore	lift
espulsore	eiettore
carrozzella	carrozzina
stralcio	squarcio
vagabondo	barbone
saliscendi	chiavistello
grugno	muso
convoglio	treno
floricoltura	natura
panino	focaccia
edificatore	fabbricatore
imposta	dazio
paraplegico	perizia
attitudine	genio
calma	tranquillità
ingessatura	gesso
egalitarismo	egualitarismo
orpello	princisbecco
prebendato	prebendario
collegamento	relazione
ascoltatori	audience
canale	condotto
tavolo	tavola
montante	palo
satrapa	satrapo
richiedente	istante
diritto	dritto
oggetto	contenuto
goletta	gorgiera
marina	marineria
molto	assai
estensore	compilatore
unità	componente
manipolo	clan
scomparsa	sparizione
dissertazione	alabastro
cannibalismo	antropofagia
mammona	cavia
bando	proclama
anelito	dispnea
sentenza	giudizio
qualità	bontà
nuoto	notata
biomassa	evento
colle	montuosità
confidenza	segreto
targhetta	targa
illegalità	illegalismo
coca	cocaina
comico	commediante
cane	cattivo
tetto	massimale
coniuge	consorte
ciminiera	comignolo
distesa	estensione
carrozza	vettura
arcivescovado	arcivescovato
riposo	pensionamento
corsia	pista
ispirazione	illuminazione
angolo	cantonata
distrazione	diversivo
argon	argo
rimbalzo	contraccolpo
mutuante	archetto
supervisore	capofabbrica
fedele	sostenitore
consumatore	fruitore
fascino	richiamo
pirata	corsale
modo	porto
elevatore	paranco
ragionamento	disputazione
coupon	certificato
detrazione	denigrazione
risveglio	sveglia
copertone	telone
lavorazione	realizzazione
decongestionante	settimo
levità	lievità
ricambio	succedaneo
pisello	bischero
intellighenzia	intellettualità
fastigio	acme
morso	spasimo
maniera	modo
botola	tombino
cumolo	cumulo
vipera	marasso
modulazione	passaggio
decenza	rispettabilità
passamano	balaustrato
campo	campagna
lasciapassare	passi
cervello	discrezione
tritatutto	tritacarne
laparatomia	laparotomia
ateo	senzadio
condominio	fabbricato
elianto	girasole
zanni	buffone
aggiunta	aggiunzione
pistone	stantuffo
uomo	maschio
bordo	bordata
hitcher	autostoppista
unificazione	unione
figura	acquedotto
costanza	perseveranza
escudo	passato
verità	stordimento
clemenza	indulgenza
periodo	stagione
basicità	alcalinità
platea	orchestra
cliché	stereotipo
stampa	impressione
militare	armato
capitano	comandante
smoking	kappa
conseguenza	critica
baleno	lampo
passione	otturatore
fila	riga
miscela	impasto
raucedine	afonia
salvietta	tovagliolo
dissenso	diverbio
risultato	frutto
solitudine	isolamento
tokaj	tocai
ragià	rajah
insenatura	ansa
imbarazzo	impaccio
evasione	distrazione
camminatore	pedone
spaziosità	apertura
distruttore	assassino
calma	flemma
viscere	frattaglie
prodezza	coraggio
bancarotta	fallimento
schermo	copertura
possibilità	teoria
temerità	araucaria
ricettacolo	talamo
paraguaiano	paraguayano
nichilismo	nihilismo
liturgista	rubricista
notizia	articolo
festeggiamento	celebrazione
piuma	pennacchio
indole	animo
aspetto	piazza
apporto	contributo
raccoglitore	coglitore
garanzia	malleveria
cesarismo	despotismo
passatoia	guida
riformato	protestante
avvilimento	umiliazione
falso	imitazione
ordinativo	commissione
natica	chiappa
patito	appassionato
confine	demarcazione
fischiata	fischio
valigia	bagaglio
bersaglio	obiettivo
conduttura	tubazione
compiutezza	completezza
costruzione	struttura
prodotto	risultato
trend	andamento
fosforo	p
sergente	vicebrigadiere
prezzo	costo
stiramento	volée
razza	genia
attico	soppalco
fondente	principale
nazione	stato
superiora	abbadessa
giovenca	vacchetta
cateratta	cataratta
alimentatore	fuochista
formella	mattonella
legatoria	legatura
anatra	anitra
disparità	distanza
sanguisuga	mignatta
gingillo	giocattolo
similpelle	skai
ceppo	ganascia
cuore	gramaglie
intitolazione	titolo
primitivo	gambale
peste	pestilenza
conferma	conforto
freddo	gelo
teck	teak
retroazione	feedback
numismatica	medaglistica
morale	ammaestramento
risposta	replica
elettromagnete	elettrocalamita
apoteosi	deificazione
scarlatto	vermiglio
lirica	lira
saviezza	saggezza
spilungone	stanga
sporcizia	carbonile
cupezza	oscurità
branco	stormo
inciampo	incaglio
schisto	scisto
valore	autocontrollo
ossidasi	xantina
test	fresco
pachistano	pakistano
antigelo	anticongelante
celeste	celesta
sodomita	gay
grafema	carattere
suono	fono
termine	fine
coltre	mantello
pentimento	attrizione
diploma	licenza
denuncia	denunzia
vitella	vitello
sughera	sughero
forestale	guardaboschi
crescione	maleducazione
capsula	cassula
ritirata	bagno
palinsesto	palimpsesto
antifonario	antifonale
interfono	citofono
scudiero	armigero
fascicolo	gestione
pugnalata	botta
frustino	scudiscio
spazzaneve	spartineve
otturazione	bloccaggio
rotazione	giro
pezzettino	briciola
buccia	mallo
albori	origini
scuro	imposta
pulitura	pulizia
settentrione	mezzanotte
zoroastrismo	mazdaismo
giro	gita
saxofonista	sassofonista
strumentazione	orchestrazione
brivido	fremito
articolo	capo
caos	anarchia
barriera	confine
ricetta	ordinazione
corrente	flusso
provinciale	contadino
comitato	commissione
orma	passo
fegato	coraggio
istituzione	ente
glucoside	glicoside
furia	fretta
accollo	sporgenza
betta	lancia
avallo	girata
genitrice	mamma
grettezza	spilorceria
carrello	dolly
vinci	burbera
bassopiano	bassa
catalizzatore	retrofit
mano	tocco
dannazione	disgrazia
travestimento	camuffamento
cubo	cubetto
abolizione	soppressione
ovogenesi	oogenesi
supplicante	supplice
elasticità	flessibilità
volgarizzazione	divulgazione
bue	bestiame
indennizzo	indennità
incapacità	incompetenza
limitazione	restrizione
imbrunire	crepuscolo
bocca	passaggio
esercizio	governo
sguardo	occhiata
percorso	rotta
pappagallo	calabrone
acagiù	anacardio
ovo	uovo
esibizione	presentazione
deviatoio	scambio
miglioramento	aumento
caso	cavia
affioramento	cappellaccio
cunetta	fossato
rassegna	spettacolo
pomello	manopola
guardacaccia	guardiacaccia
groviera	gruviera
pellicola	film
accademismo	scolasticismo
ammonimento	lezione
stucco	mastice
catastrofe	macello
traffico	giro
nimbo	alone
sgombero	sfollamento
miniatore	miniaturista
polso	polsino
requisito	prerequisito
penale	penalità
visceri	interiora
riordino	riassetto
provvisorietà	transitorietà
linguaggio	lingua
esplosione	impeto
collant	calzamaglia
avo	trisavolo
riputazione	fama
derrate	commestibile
baratro	voragine
nocchiero	timoniere
trasportatore	corriere
ammaraggio	atterraggio
inquilino	splendore
vestibolo	atrio
professorato	ordinariato
esonero	dispensazione
officiante	celebrante
tono	timbro
degustazione	assaggio
esaltazione	entusiasmo
selvaggio	barbaro
buca	cavernosità
becco	rostro
comunicazione	annuncio
indossatore	mannequin
fondo	campagna
autoaffermazione	autorealizzazione
forcella	scalmo
cinghia	cinta
voga	canottaggio
fiocco	materassino
archivio	classificatore
delicatezza	fragilità
illibatezza	integrità
alunno	aranciata
tepore	tiepidezza
halleluia	alleluia
sequoia	longobardo
conduttura	condotta
raffica	mitragliata
beveraggio	filtro
coniglio	daino
smontaggio	smantellamento
gentilezza	bontà
menorragia	ipermenorrea
lavoratore	proletario
nevrite	neurite
andare	passo
distribuzione	consegna
gaffe	scorso
norcino	salsicciaio
teleosteo	marziano
bengali	bengalese
corrispondente	zirconio
jet	reattore
tipaccio	malandrino
derrata	prodotto
avellano	nocciolo
argenti	argenteria
creso	nababbo
illogicità	istruzione
capivara	capibara
afghano	afgano
nitore	nitidezza
soffio	alito
finale	congedo
querelante	citante
annata	anno
incrocio	bivio
gola	faringe
nottola	caprimulgo
componimento	composizione
bestemmiatore	blasfemo
aroma	droga
moto	esercizio
entrata	incasso
pratolina	margherita
misura	dimensione
asserzione	dichiarazione
portamonete	borsello
rettifilo	rettilineo
benignità	compiacenza
sprecone	dilapidatore
famigliare	congiunto
fabbrica	fabbriceria
coercizione	costrizione
catalizzatore	accelerante
celerità	speditezza
caffettiera	cuccuma
ussaro	ussero
bestemmia	eresia
conservatorismo	oscurantismo
componente	elemento
cartellone	cartello
inetto	cane
barra	freno
bardo	aedo
raccolto	annata
termosifone	calorifero
affermazione	richiesta
raccolta	raggruppamento
indietreggiamento	regresso
mancanza	scarsità
fedina	precedenti
millanteria	vanagloria
miocardio	stagnatura
intelletto	raziocinio
ingorgo	accecamento
colpa	reità
vitello	vitella
rena	sabbia
scintilla	favilla
sfortunato	miserabile
infondatezza	fallacia
giunzione	flangia
lavapiatti	sguattero
debito	indebitamento
maneggio	pessimista
reparto	aerobrigata
muggine	volpina
battimano	acclamazione
estinzione	spegnimento
omelette	frittata
santo	potassa
pouf	puf
discordia	disunione
lavabo	lavandino
servitù	servaggio
condotta	gestione
dedizione	devozione
origine	culla
glottologia	linguistica
tempo	santo
cappuccio	cuffia
stile	foggia
insolvibilità	insolvenza
destinatario	beneficiario
cofto	copto
ruscello	celluloide
cresta	costone
linea	cavo
biossido	diossido
papero	legislazione
convenzionalismo	conformismo
ansa	meandro
ossalide	acetosella
riverenza	reverenza
caterva	orda
enunciato	dichiarazione
pupa	ninfa
guaina	busto
dispetto	fastidio
sepolcreto	necropoli
neoformazione	neologismo
cameriere	famiglio
esortazione	invito
suffragista	suffragetta
imprevedibile	imponderabile
mezzana	ruffiana
decreto	commessa
pace	serenità
pulcella	donzella
adiuvante	coadiuvante
emettitore	catodo
sensitivo	spiritista
condannato	recluso
centopiedi	millepiedi
spese	importo
diverso	omosex
fedelissimi	claque
comprensione	pensiero
crusca	semola
fogliame	chioma
combinazione	coincidenza
