reperto	prova
malinconia	depressione
uremia	patologia
base	basso
impero	durata
neocolonialismo	colonialismo
fioretto	fiore
acero	legno
antieroe	protagonista
dato	informazione
nucleo	centro
rito	funzione
plenipotenziario	diplomatico
croato	slavo
fresa	punta
primavera	stagione
molare	dente
labirintite	otite
cacciatrice	cacciatore
calvinismo	protestantesimo
sbadiglio	riflesso
panchina	sedile
mole	massa
eritromicina	antibiotico
ecatombe	sacrificio
controllo	disciplina
dattiloscritto	materiale
minaccia	dichiarazione
muscovite	mica
terza	ingranaggio
bilateralità	simmetria
vertice	incontro
costante	numero
zircone	minerale
gene	sequenza
scavatore	manovale
disciplina	tratto
antropoide	primate
dimostrativo	pronome
impianto	protesi
classicista	artista
poliandria	poligamia
ordine	disposizione
levità	frivolezza
topazio	quarzo
archetto	bastone
gelosia	invidia
museo	deposito
pericardio	sierosa
cabotaggio	navigazione
shopping	acquisto
disarmonia	dissonanza
chemiluminescenza	luminescenza
cantico	inno
alcalosi	patologia
cenere	rimanente
cresima	sacramento
emersione	apparizione
figura	modello
lucciola	maggiolino
importatore	borghese
redine	controllo
clementina	mandarino
babilonese	semita
cucchiaia	cucchiaio
ieri	passato
base	elettrodo
mulo	equino
circonferenza	perimetro
cipresso	conifera
corrosivo	composto
parata	prevenzione
riedizione	pubblicazione
siriano	asiatico
ponte	piattaforma
malese	asiatico
pane	blocco
idrodinamica	idraulica
ottica	fisica
cittadino	residente
sottosistema	sistema
precipitato	solido
antenna	sensibilità
calceolaria	fiore
capannone	dependance
asprezza	odore
mito	storia
ucraino	europeo
depositario	confidente
catechismo	libro
peperoncino	capsico
terra	luogo
embriologia	biologia
tifone	ciclone
sudafricano	africano
olografia	ottica
participio	verbo
esteriorizzazione	oggettivazione
socialismo	ideologia
miocardite	cardite
musicista	artista
violoncello	archi
pressione	spinta
erba	aroma
isomero	composto
giapponese	asiatico
scoppio	suono
minatore	manovale
brigantino	veliero
sardonica	onice
felino	carnivoro
persiano	agnello
giacobinismo	radicalismo
salvezza	soccorso
carbonato	sale
zonizzazione	divisione
carbossile	radicale
aratro	attrezzo
candore	franchezza
sloveno	europeo
omografo	omonimo
inseguitore	viaggiatore
metacarpo	ossatura
bunker	fortificazione
analisi	ragionamento
scansione	metro
imperialista	credente
equitazione	sport
catetere	cannello
berillo	minerale
stabilità	ordine
cereale	erba
pedone	scacco
cianogeno	gas
commestibilità	proprietà
falangista	marsupiale
cratere	avvallamento
budget	fondo
chimico	scienziato
dannazione	stato
titolo	intestazione
grisou	gas
libero	cittadino
zebra	equino
binario	artefatto
veneziano	italiano
baracca	rifugio
periodico	pubblicazione
vaniglia	orchidea
stilizzazione	unificazione
zucchetta	vite
campanaro	segnalatore
sperone	pungolo
teak	albero
cacofonia	dissonanza
gomma	granuloma
quadruplo	multiplo
iena	canide
penitenza	sacramento
tasso	conifera
frenatore	ferroviere
trampolino	rampa
entusiasmo	esuberanza
mobilità	qualità
zambiano	africano
polipropilene	plastica
insalubrità	qualità
entusiasmo	interesse
artiglieria	armamento
atomistica	fisica
smeriglio	minerale
geroglifico	ortografia
rilettura	interpretazione
fallibilità	inaffidabilità
moralità	qualità
mediocrità	ordinarietà
amo	uncino
costrizione	forza
compensato	laminato
intelaiatura	macchina
investimento	finanza
arricchimento	estrazione
tuberosa	fiore
apnea	sintomo
sfarfallamento	infedeltà
rullio	suono
iperemia	congestione
feto	vertebrato
specializzazione	vocazione
liquidatore	investigatore
gnomone	indicatore
nebulosità	atmosfera
maturità	stato
locomozione	mobilità
cronometro	orologio
cassa	banco
falco	rapace
provino	audizione
esportatore	borghese
molibdenite	minerale
fattorizzazione	risoluzione
omnibus	tram
acciaio	lega
pipa	cannello
stracotto	stufato
calce	ossido
idealizzazione	apprezzamento
scatto	suono
oggettività	intuito
colorito	interesse
microcosmo	modello
macchinista	artigiano
scorta	protezione
icosaedro	poliedro
stafilococco	cocco
ottavino	flauto
commozione	lesione
gallinaccio	agarico
sigma	colon
humour	qualità
astrattismo	rappresentazione
spazio	attributo
attrazione	intrattenitore
acido	composto
spiegazione	pensiero
prataiolo	agarico
santificazione	funzione
tensore	muscolo
riproduzione	copiatura
macedonia	insalata
arancio	agrume
mammona	ricchezza
alizarina	pigmento
nuotatore	viaggiatore
lupo	canide
ecologia	biologia
veglione	ballo
arsenale	armamento
tallio	metallo
monitoraggio	osservazione
odissea	viaggio
endocardio	sierosa
teucrio	suffrutice
modiglione	mensola
crucco	tedesco
vibrato	suono
demografo	sociologo
liberalismo	ideologia
assorbitore	assorbente
fischiettio	musica
clono	convulsione
coscienza	moralità
betoniera	macchina
finanziamento	finanza
musica	attività
begonia	fiore
ripetizione	risposta
sirenide	salamandra
miologia	fisiologia
prelazione	diritto
baldacchino	ricovero
camice	paramenti
motivo	disegno
visconte	pari
yogi	filosofo
cintola	regione
scalo	porto
mascherina	protezione
disoccupazione	stato
lanciasiluri	cannello
desinenza	morfema
portasapone	affisso
divertimento	attività
elitismo	ideologia
iperglicemia	sintomo
sigaretta	sigaro
dravida	indiano
elemento	ambiente
slovacco	slavo
spallina	addobbo
raspa	lima
decozione	estrazione
riporto	cucito
carattere	tratto
luccio	perciforme
istituzione	organizzazione
carminio	rosso
tagliacarte	coltello
caracca	galeone
autodifesa	protezione
menisco	cartilagine
ragionamento	pensiero
prodromo	sintomo
piede	organo
destra	fazione
belga	europeo
cortigiano	inserviente
erpetologia	zoologia
canonizzazione	santificazione
inchiostro	liquido
linfa	soluzione
liquida	consonante
vinificatore	fabbro
stanca	marea
prescienza	capacità
ibisco	malva
esemplificazione	dimostrazione
gadolinio	metallo
spiedino	piatto
facsimile	copia
ricevitore	auricolare
streptomicina	antibiotico
bocchetta	protezione
idrologia	geofisica
sci	guida
educazione	acculturazione
predicato	espressione
maschile	genere
escrezione	espulsione
snob	antipatico
millepiedi	artropodi
astrometria	astronomia
accesso	diritto
fotografia	processo
neurobiologia	biologia
berillio	metallo
modello	rappresentazione
falsità	irrealtà
insolubilità	qualità
esodo	fuga
acidosi	patologia
cammino	viaggio
esagono	poligono
padrino	inserviente
galantina	piatto
torretta	torre
porridge	piatto
ciclone	atmosfera
singolarità	qualità
timpano	membrana
elettrificazione	sfruttamento
istrionismo	manifestazione
mammalogia	zoologia
sorellastra	sorella
creazione	artefatto
veronica	fiore
salinità	salsedine
crostata	pasticcio
testosterone	androgeno
pettinata	pettinatura
bomba	sorpresa
mastoide	processo
incudine	blocco
liquidazione	fine
campana	protezione
addizionatrice	calcolatrice
nitrato	composto
mare	acqua
posto	punto
trittico	arte
cronometro	contaminuti
integrazione	operazione
emarginato	individualista
riso	cereale
escatologia	teologia
coda	processo
falciata	spazio
prospettore	minatore
apparizione	arrivo
gazzella	antilope
yiddish	tedesco
prussiano	tedesco
mantelletto	rifugio
gambale	copertura
scopolamina	alcaloide
papero	oca
addendo	numero
greco	indoeuropeo
giudice	autorità
personificazione	incarnazione
piffero	flauto
rostro	naso
ultracentrifugazione	centrifugazione
sloop	veliero
sciatore	atleta
sovranità	autogoverno
sannita	italiano
autografo	firma
coniglietto	coniglio
uniformità	metodicità
ciuffo	cresta
catalizzatore	causa
levitazione	fenomeno
denominatore	divisore
gelata	gelo
potassio	metallo
gulasch	stufato
biofisica	fisica
oasi	rifugio
doppio	volano
romano	italiano
lussemburghese	europeo
arena	stadio
digiuno	tenue
samario	metallo
ratto	roditore
celta	europeo
classificazione	ordinamento
abbandono	rigetto
punto	disco
banderese	cavaliere
sestina	stanza
imbibizione	assorbimento
marcatore	giocatore
senatore	legislatore
palasport	stadio
nausea	sintomo
pompelmo	agrume
coordinata	numero
portoghese	europeo
fortuna	fenomeno
psicoterapia	terapia
coincidenza	trasporto
riconoscimento	approvazione
tatuaggio	disegno
sanguinella	erba
femminile	genere
taglio	apertura
ciliegio	legno
esecuzione	processo
orto	giardino
paleogeografia	archeologia
brocco	centro
glottocronologia	cronologia
stile	comunicazione
scopritore	osservatore
coffa	piattaforma
tramonto	ora
fondale	fondo
fascismo	ideologia
coppella	vaso
nasale	consonante
confidente	amico
bronzo	scultura
portulaca	fiore
oro	giallo
marmo	scultura
ceramica	arte
solfuro	composto
ebanite	caucciù
dissenteria	morbo
risotto	piatto
rutenio	metallo
diapside	rettile
polifonia	musica
aggiornamento	cambiamento
metile	alchile
donnola	mustelide
nigella	fiore
ferro	metallo
forchetta	posata
martora	mustelide
bisante	moneta
catalogo	libro
asplenio	felce
retta	linea
rebus	problema
smegma	sebo
monaco	palo
falange	osso
onniscienza	stato
psicologo	scienziato
rampicante	vite
benedicite	preghiera
madrepora	corallo
propile	radicale
sciolina	cera
implosione	franamento
casa	luogo
biosintesi	sintesi
scetticismo	miscredenza
amadriade	driade
pirite	minerale
indifferenza	apatia
avvento	stagione
frontale	addobbo
massaggiatore	fisioterapista
paralisi	disfunzione
illegalità	qualità
fertilizzazione	arricchimento
ridimensionamento	valutazione
minio	ossido
fienagione	stagione
memorizzazione	apprendimento
borraccia	bottiglia
dissertazione	saggio
gadolinite	minerale
serietà	tratto
morfologia	grammatica
ordine	sacramento
criolite	minerale
schiaccianoci	leveraggio
infiltrato	spia
cruna	buco
salvacondotto	lasciapassare
salsiera	piatto
attivismo	politica
vanadio	metallo
carboncino	disegno
nababbo	ricco
feritoia	buco
protestante	chiesa
monumento	sede
schioppettata	colpo
abete	legno
slittino	sport
idraulica	meccanica
eglefino	pesce
parcheggio	manovra
oreficeria	addobbo
palestinese	arabo
cassero	ponte
re	scacco
legame	attrazione
dolcezza	sapore
coefficiente	costante
dialettica	filosofia
caffeina	alcaloide
capretto	capra
falconiere	cacciatore
bracciante	manovale
fiorentina	bistecca
latinista	classicista
cecoslovacco	europeo
sfinge	statua
alcelafo	antilope
incisione	taglio
tappezzeria	copertura
coccinella	maggiolino
picchiettio	suono
corpulenza	carnosità
aspirapolvere	elettrodomestico
triade	accordo
punto	cucito
cavalleria	truppa
barone	gentiluomo
voluttà	sesso
mezzanotte	ora
galvanizzazione	terapia
indipendente	individualista
irrorazione	applicazione
frangivento	siepe
albanese	europeo
passiflora	vite
modulazione	trasmissione
amalgama	combinazione
texano	americano
rettitudine	moralità
ittiologia	zoologia
naturalista	biologo
termocoppia	termometro
gaggia	acacia
ptosi	prolasso
lampione	palo
anguilla	pesce
fermacapelli	clip
atmosfera	tempo
storia	narrativa
mutilazione	lesione
navigatore	ufficiale
iperplasia	displasia
proprietà	attributo
tossicologia	farmacologia
bulgaro	europeo
ampolla	bottiglia
arco	curva
peso	artefatto
repulsione	forza
scacchista	giocatore
confessione	penitenza
decimale	numero
borgogna	vino
saudita	arabo
fluoruro	alogenuro
cannuccia	cannello
coda	risalto
minoranza	numero
lorica	guaina
moderatore	inibitore
semplificazione	eliminazione
stoccafisso	pesce
marsupio	tasca
emodialisi	dialisi
massa	corpo
morte	stato
proibizionismo	legge
tipografo	fabbro
ipoglicemia	sintomo
tour	viaggio
laudano	oppiaceo
termoelettricità	elettricità
vinile	radicale
mani	custodia
cedro	agrume
natura	tratto
antineutrone	nucleone
autofluorescenza	fluorescenza
principio	valore
martelletto	maglio
sardo	italiano
coronaria	arteria
paranoia	psicosi
zeppa	scarpa
arpia	aquila
campanella	campana
framboesia	morbo
grado	grandezza
cammino	vocazione
socialdemocrazia	ideologia
cementite	composto
borato	sale
alabarda	picca
chinotto	arancio
clavicola	osso
galletto	dado
senegalese	africano
farmaco	agente
assistenza	welfare
tartrato	sale
buca	gioco
fisiologia	biologia
pugno	mano
abacà	banano
spina	buco
arseniato	sale
ilo	scissura
modellino	copia
appendice	processo
editore	professionista
alabardiere	guardia
nuotatore	atleta
intima	membrana
pace	ordine
transumanza	trasporto
speleologia	geologia
genzianella	genziana
opossum	marsupiale
vescica	sacco
indio	metallo
piorrea	patologia
speleologo	esploratore
estratto	articolo
copia	sosia
napello	aconito
aspersione	battesimo
ebano	legno
codino	treccia
capovolgimento	inversione
collaborazionista	traditore
plasma	calcedonio
sterno	osso
riso	attività
libanese	asiatico
sloveno	slavo
tè	bevanda
bistro	pigmento
bobina	reattore
schnauzer	terrier
anarchismo	ideologia
oppressione	persecuzione
dolore	sensazione
identità	monotonia
pezzo	articolo
saldatore	artigiano
ortografia	scrittura
mezzo	ambiente
interregno	interim
ritaglio	taglio
operatore	borsista
pimenta	capsico
carota	campione
linea	formazione
pentaedro	poliedro
abortivo	farmaco
delega	procura
ipocicloide	roulette
finanza	attività
piazzola	postazione
mulattiere	manovale
simbolista	artista
caratteristica	qualità
graduale	antifona
tetraciclina	antibatterico
autoscontro	veicolo
essenza	olio
autocrazia	ideologia
estate	stagione
visone	mustelide
etnologo	antropologo
radiometro	contatore
alcali	sale
bottiglia	vaso
psicrometro	igrometro
infedeltà	qualità
festuca	erba
collettivismo	ideologia
ingiustizia	particolarismo
parigino	francese
fiordaliso	stemma
basilico	erba
sensazione	percezione
individualità	tratto
tantalio	metallo
impressionabilità	sensibilità
formicolio	sensazione
ovopositore	organo
efflorescenza	cristallizzazione
costituzionalismo	ideologia
metatarso	ossatura
sinantropo	ominide
scacco	pezzo
comunicativa	tratto
investitore	capitalista
sorella	suora
sociometria	sociologia
atrio	corridoio
sepsi	infezione
finitezza	qualità
tardigrado	artropodi
astrolabio	sestante
zoologia	biologia
propaganda	informazione
periodo	intervallo
ossidazione	reazione
anabattismo	protestantesimo
corollario	conseguenza
astrofisica	astronomia
palco	piattaforma
carbonaio	fattorino
galbano	gomma
tentazione	desiderio
cotta	paramenti
acceleratore	pedale
semolino	farina
chiusura	fine
apatite	minerale
windsurf	tavola
verticale	acrobazia
caldaia	vaso
sintesi	ragionamento
psichiatra	specialista
flussometro	contatore
bario	metallo
egoismo	tratto
larice	conifera
margravio	gentiluomo
contraente	parte
premeditazione	pianificazione
periostio	membrana
neutrino	leptone
misogino	misantropo
interesse	curiosità
tonsura	rasatura
cileno	sudamericano
pluralista	filosofo
genziana	fiore
mangano	asciugatrice
albedo	rapporto
fenomeno	sviluppo
nucleotide	estere
immobilità	qualità
genio	spirito
granaio	piano
orice	antilope
sparo	colpo
connivenza	approvazione
ala	organo
doccia	abluzione
divano	gabinetto
carpello	pistillo
promozione	cambiamento
resto	moneta
conte	pari
crogiolo	vaso
pastoia	catena
semplicità	qualità
cineraria	fiore
fisiologo	biologo
coscienza	vergogna
conservazione	protezione
fine	stato
maschera	protezione
finlandese	europeo
mortaio	vaso
ambasciatore	diplomatico
tea	rosa
radiochimica	chimica
arbitraggio	investimento
lontra	mustelide
sci	sport
grandine	precipitazione
sommelier	cameriere
pascià	autorità
labiale	consonante
paramenti	toga
classico	creazione
edificazione	lume
chemioterapia	terapia
peschereccio	bastimento
endocardite	cardite
igiene	tratto
passività	inerzia
cannoncino	piega
frassino	legno
malachite	minerale
longobardo	europeo
carambola	colpo
antonomo	maggiolino
canino	dente
cavallina	cavallo
confidenza	amicizia
trinchetto	albero
marzapane	caramella
legume	baccello
ciclotrone	acceleratore
tantalo	cicogna
glicine	vite
corno	processo
cecilia	anfibio
mora	bacca
mononucleosi	morbo
anagogia	interpretazione
esteriorizzazione	attribuzione
spondeo	piede
zingaresco	sanscrito
spinta	forza
goletta	veliero
pelliccia	cappotto
pianerottolo	piattaforma
bicchierino	bicchiere
assetto	positura
kitsch	arte
immunopatologia	immunologia
catione	ione
fuoco	elemento
mustelide	carnivoro
margherita	ruota
banchiere	finanziere
sparatore	fucile
anemia	sintomo
canonista	specialista
scozzese	europeo
cesura	inflessione
incontro	punto
torio	metallo
raddoppio	rilancio
preludio	musica
fonetica	acustica
dimostratore	venditore
formattazione	informazione
fenicio	semita
bitume	idrocarburo
tricorno	feluca
alchile	radicale
acrobata	ginnasta
specialità	concentrazione
attaccante	atleta
levigatezza	consistenza
introiezione	interiorizzazione
albero	asta
interdizione	estromissione
legalismo	conformismo
catechismo	interrogatorio
posto	spazio
anca	groppa
genero	affine
acrilato	sale
rutilo	minerale
okay	sanzione
apposizione	qualificazione
saltatore	atleta
ampiezza	spostamento
volume	pubblicazione
basilica	chiesa
moralista	filosofo
marocchino	africano
distributore	fornitore
stormo	formazione
circo	stadio
patibolo	piattaforma
circoncisione	recisione
stima	giudizio
ominide	primate
autorità	potere
pluralista	liberale
scotch	whisky
labro	perciforme
cooptazione	elezione
capriola	acrobazia
battistrada	contatto
occhiello	chiusura
dichiarazione	deposizione
tirapugni	arma
inammissibilità	inaccettabilità
allontanamento	isolamento
piolo	palo
rampone	chiodo
diuretico	farmaco
epigrafe	citazione
comando	attività
anfibraco	piede
giordano	asiatico
pepsina	enzima
guado	acqua
forcone	attrezzo
ginepro	cipresso
classico	artista
radiofrequenza	frequenza
tenda	rifugio
storia	passato
silicato	sale
cameriera	cameriere
offertorio	obolo
intarsio	otturazione
editoria	attività
dodecaedro	poliedro
calore	energia
deriva	lastra
polo	camicia
onomastica	lessicologia
francescano	frate
bacione	bacio
biologo	scienziato
fiancata	armamento
pari	gentiluomo
bulgaro	slavo
malore	incoscienza
secondo	ufficiale
mediomassimo	lottatore
picca	arma
meccanica	fisica
diffusione	procreazione
betulla	albero
isolamento	separazione
edilizia	attività
giacinto	zircone
set	gioco
controproposta	proposta
mammifero	vertebrato
neuroanatomia	anatomia
sortita	azione
baricentro	centro
paresi	paralisi
dodecagono	poligono
ballatoio	gruccia
anfora	barattolo
seminario	corso
copra	cocco
hawaiano	americano
torello	corso
scudo	protezione
pirometro	termometro
battitore	giocatore
onice	calcedonio
granduchessa	duchessa
francio	metallo
nettare	secrezione
serialismo	musica
contumace	assente
sudanese	africano
qualità	attributo
fregola	desiderio
ko	colpo
fonte	origine
spirito	carattere
canzoniere	libro
comunicazione	trasmissione
couture	confezione
ottano	idrocarburo
cianosi	sintomo
deputato	legislatore
inasprimento	infelicità
perca	perciforme
portoricano	americano
cromite	minerale
castagno	albero
organo	periodico
illustratore	artista
farsa	commedia
aggressione	attentato
ballerina	scarpa
anchilosi	patologia
bitta	palo
bicloruro	cloruro
figura	illustrazione
benessere	prosperità
orzaiolo	infezione
molibdeno	metallo
nirvana	beatitudine
pestello	macchina
spia	traditore
ideologia	teorizzazione
lebbra	morbo
rodio	metallo
sacramento	funzione
calla	fiore
sportivo	atleta
ceppo	blocco
infarto	patologia
città	municipalità
graduazione	quantificazione
melissa	erba
perdita	declino
intorpidimento	sintomo
visione	esperienza
cocker	epagneul
punto	luogo
autunno	stagione
conquistador	esploratore
amorevolezza	affettuosità
manubrio	osso
alibi	discarico
opportunista	egoista
visitatore	viaggiatore
igname	vite
considerazione	pensiero
restauro	miglioramento
argentite	minerale
rosmarino	erba
canopo	barattolo
frustata	colpo
teatralità	artificialità
archivista	collezionista
relazione	stato
zanna	dente
linotype	compositrice
tomo	libro
precipitazione	tempo
idroelettricità	elettricità
bismuto	metallo
ottativo	modo
polvere	solido
sterpaglia	legno
atrio	camera
buttafuori	guardia
fante	figura
economia	efficienza
inaugurazione	insediamento
internazionalista	socialista
nottambulo	individualista
carnivoro	predatore
leggenda	storia
cursore	indicatore
resistenza	azione
cote	pietra
giostra	lotta
battesimo	sacramento
lunula	regione
aura	sintomo
tulio	metallo
matassa	voluta
immunofluorescenza	tecnica
astragalo	osso
dramma	episodio
scuola	educazione
donchisciotte	idealista
fianco	formazione
armaiolo	magnano
futuro	tempo
disistima	onta
piede	metro
assalto	briga
espressionista	artista
giambo	piede
eliotropio	calcedonio
puntasecca	ago
celtico	indoeuropeo
torrione	timoniera
basco	europeo
coroide	membrana
studio	apprendimento
circoncisione	rito
rombo	suono
edificio	sistema
anfibio	vertebrato
base	luogo
mormonismo	protestantesimo
orecchino	oreficeria
navigabilità	qualità
canna	sigaretta
liana	vite
fettina	bistecca
macedone	slavo
yemenita	arabo
diffusore	deflettore
legnaia	capannone
forca	forcone
compositrice	stampatrice
quarzo	minerale
variazione	attività
spedizione	campagna
silice	ossido
piroga	canoa
veglia	rito
collimatore	cannocchiale
cambogiano	asiatico
decagono	poligono
platano	albero
cumino	erba
attributo	astrazione
irregolarità	qualità
siberiano	russo
cuore	viscere
dittico	arte
fattore	numero
malacia	patologia
miliardo	bilione
acino	sacco
ostacolista	atleta
batteriofago	virus
acquedotto	condotto
biscotto	torta
ghetta	gambale
concentrazione	attenzione
termodinamica	fisica
sottotitolo	titolo
areola	regione
matricida	parricida
chemiosintesi	sintesi
salmone	pesce
botanico	biologo
santità	qualità
contatto	interazione
entremets	piatto
autolisi	lisi
languidezza	apatia
naftalina	idrocarburo
wolframite	minerale
servo	nero
centurione	guerriero
dado	aroma
esoticità	singolarità
quadro	nucleo
indostano	hindi
curry	piatto
controllo	attività
pianificazione	pensiero
prometeo	metallo
calco	solido
citoplasma	protoplasma
tantalo	ibis
interiorizzazione	apprendimento
monotype	compositrice
gora	condotto
nocciolo	legno
provetta	cannello
frenaggio	freno
fegato	viscere
glicerile	radicale
immersione	bagnata
eterosessualità	sesso
cubia	buco
canale	acqua
nespola	colpo
presina	imbottitura
cedro	conifera
persiano	iranico
limone	agrume
baleno	luminosità
tedesco	europeo
curvatura	derivata
gente	famiglia
unità	identità
fascista	destrorso
intuito	tratto
quattrino	moneta
ombelico	punto
cubo	numero
emulsione	colloide
geomorfologia	geofisica
gaelico	celtico
incidenza	frequenza
timone	comando
conte	gentiluomo
iride	membrana
fase	stato
fanone	corno
ortopedico	specialista
gallio	metallo
villo	processo
ciambella	salvagente
granduca	principe
tessitore	artigiano
lipasi	enzima
imbuto	utensile
origine	punto
anglomania	entusiasmo
etnografia	antropologia
punteggio	numero
sassone	europeo
mineralogia	geologia
fodera	camicia
pappo	calice
osteomalacia	malacia
orecchio	udito
sfollato	migratore
federazione	organizzazione
calamaio	bottiglia
canide	carnivoro
biomassa	massa
campo	insieme
dettame	principio
bioclimatologia	climatologia
rosso	vino
sansevieria	agave
alimentatore	macchina
borace	minerale
lanciafiamme	arma
sevizie	persecuzione
ospizio	alloggio
nome	famiglia
galena	minerale
sinovia	secrezione
zend	iranico
celebrazione	rituale
fulminato	sale
complessità	qualità
camomilla	tisana
avventismo	cristianesimo
ungherese	europeo
interpretazione	rappresentazione
cervo	ruminante
vuoto	spazio
arabo	semita
antitossina	anticorpo
cardamomo	aroma
sfilata	processione
attaché	specialista
girino	larva
vegetariano	mangiatore
lago	acqua
radiografia	fotografia
emolisi	lisi
ordine	stato
difesa	azione
correttezza	convenienza
coperchio	copertura
viadotto	ponte
corda	retta
surrealista	artista
armeno	asiatico
amarico	etiope
balzo	aumento
afrikaans	olandese
aoristo	tempo
parcheggio	spazio
bourbon	whisky
scandalo	briga
licenza	libertà
polacco	europeo
ordinarietà	qualità
astrodinamica	astronomia
infinito	verbo
bilancio	documento
coesione	forza
limetta	lima
algebrista	matematico
metagenesi	eterogenesi
frassino	albero
persecuzione	maltrattamento
permanente	ondulazione
fatto	realtà
bicromato	sale
frullino	beccaccino
brivido	eccitazione
razionalizzazione	semplificazione
declinazione	desinenza
oblio	ombra
irlandese	gaelico
agricoltura	attività
inclusione	coinvolgimento
carotide	arteria
timoneria	ingranaggio
para	caucciù
deriva	stabilizzatore
psicanalisi	psicoterapia
ostia	pane
ultracentrifuga	centrifuga
caseggiato	alloggio
macedone	europeo
papista	cattolico
diametro	retta
coccinello	chiusura
geotropismo	tropismo
noce	legno
protezione	attività
asprezza	consistenza
gruppo	insieme
schizofrenia	psicosi
filetto	linea
romanticismo	qualità
passione	concupiscenza
elitra	ala
set	tendenza
sigaro	tabacco
pelo	consistenza
lemure	primate
manilla	carta
palatale	semivocale
combustione	ossidazione
garza	maglia
pilaf	piatto
stratagemma	manovra
bilanciere	ruota
alosa	pesce
beatificazione	santificazione
disfatta	sconfitta
obliquità	spazialità
moscardino	ghiro
ginecologo	specialista
turiferario	accolito
etnocentrismo	particolarismo
puritano	antipatico
lignina	polimero
omogeneità	regolarità
prelatura	clero
borosilicato	sale
botta	colpo
smistamento	operazione
tragopano	fagiano
ineleganza	qualità
arteriosclerosi	sclerosi
caffè	bevanda
radiobussola	radiogoniometro
cono	artefatto
anglosassone	inglese
olandese	europeo
vendemmia	vino
condizionamento	apprendimento
panchina	rifugio
ottimismo	speranza
incarnazione	oggettivazione
libro	documento
procreazione	sesso
eccentricità	rapporto
ricatto	estorsione
paleontologo	scienziato
iodoformio	antisettico
spasticità	irregolarità
gotta	artrite
concepimento	sesso
inedia	fame
olmo	albero
cudù	antilope
cavia	roditore
aborto	fallimento
passo	suono
muschio	secrezione
indicativo	modo
duca	gentiluomo
sessismo	discriminazione
seconda	ingranaggio
rosta	finestra
spagnolo	europeo
aroma	ingrediente
finanziamento	risorsa
disquisizione	saggio
auriga	conducente
simulatore	macchina
serbo	slavo
impresa	organizzazione
sequoia	cipresso
lanterna	lampada
risonanza	vibrazione
casotto	ricovero
estetica	filosofia
