idromele	appannaggio
fuoco	becco
intangibilità	impalpabilità
autoparco	parcheggio
decantazione	depurazione
detergente	detersivo
maneggio	manipolazione
bretone	brettone
grammofono	fonografo
conflagrazione	accumulo
metodo	condotta
riputazione	velocità
muta	branco
punteruolo	loquacità
statuina	statuetta
anile	indaco
cinghia	sottopancia
comma	coma
stria	striscia
schiumogeno	estintore
segmento	spicchio
immaginario	immaginazione
sudditanza	soggezione
suola	pianta
durata	lunghezza
girone	serie
tumore	neoplasia
carbone	golpe
esecuzione	applicazione
stima	considerazione
raschietto	piezoelettricità
attività	affare
degente	ricoverato
trappolone	truffaldino
avo	antenato
serotonina	treggia
modello	esempio
fiumana	fiume
cannocchiale	binocolo
genere	merci
desolazione	cupezza
operazione	transazione
smaltimento	digestione
retirement	corimbo
bullettino	bollettino
stagnaio	stagnino
derapage	dérapage
giallistica	giallo
oratore	retore
carità	elemosina
pancia	gozzo
ittero	itterizia
margherita	margheritina
sedia	seggiola
lacrimazione	fonderia
frontispizio	frontespizio
malcontento	scontento
violentatore	stupratore
ballerino	danzatore
interlinea	guinzaglio
supermercato	supermarket
carponi	strisciamento
priorità	precedenza
trinitrotoluene	tritolo
remissione	sottomissione
scoraggiamento	sudafricano
coglia	scroto
biscuit	biscotto
dorso	groppa
causale	movente
anno	classe
smazzata	girata
amorevolezza	premura
energia	biografia
universalità	generalità
arancia	portogallo
ciabatta	pianella
boaro	bovaro
tubulare	tubolare
portabagagli	bagagliaio
escreto	escremento
venezuelano	venezolano
naviglio	nuora
moca	moka
randa	ultrà
pattugliamento	pattuglia
resti	caschetto
labrace	spigola
sovrastruttura	soprastruttura
baldanza	ardimento
alloggio	dimora
visuale	vista
settore	ambiente
pialla	piana
credibilità	attendibilità
destituzione	esautorazione
renaissance	revival
braccialetto	vetro
desinenza	passo
brio	vivacità
lumacone	limaccia
carneficina	tagliata
caldura	canicola
approvazione	consenso
alveare	arnia
lanterna	faro
ospedale	nosocomio
travaglio	doglie
emittero	cimice
grigio	grigiore
nebulosa	nebula
tormento	tormentone
mimesi	busto
grano	frumento
attacco	innesto
quassia	anarchismo
cassetta	cassa
kappa	mantello
fregio	distintivo
cucciolata	figliata
econometria	econometrica
asportazione	amputazione
discesa	nettare
dispiacere	rincrescimento
portata	pietanza
alimento	alimentazione
biliardo	bigliardo
esito	successo
spettacolo	orchidea
patriarcato	comparativo
omaso	libro
piede	basso
detonazione	esplosione
abilità	arte
complesso	mondo
cosetta	banalità
astrazione	astratto
botte	barile
destra	diritta
arenaria	macigno
germe	fonte
amenità	facezia
determinista	fatalista
dondolio	oscillazione
capannone	granaio
aggregato	conglomerato
giovinastro	teppista
canyon	cañon
biglietteria	botteghino
impeto	ondata
pentimento	penitenza
recupero	ricompera
bordino	filetto
ignizione	accensione
cuticagna	cervice
sottana	gonnella
slump	crollo
diagramma	grafico
federazione	confederazione
ricaduta	recidiva
pianoforte	piano
impalcatura	carcassa
permissivismo	lassismo
appoggiatura	abbellimento
dedizione	applicazione
tiro	muta
mistica	misticismo
mattino	mattinata
dispiacere	scontentezza
appannaggio	rendita
chicco	granello
somiglianza	rassomiglianza
vinto	perdente
clizia	girasole
semicircolo	semicerchio
interferenza	intromissione
portaordini	staffetta
ciondolo	gingillo
colosso	titano
maestà	maestosità
concentramento	fittezza
giovanetto	picciotto
soprintendenza	controllo
grinta	mordente
scusa	discolpa
cartina	bustina
aruspice	divinatore
forza	potenza
mansuetudine	docilità
pesista	sollevatore
video	display
secchiata	bugliolo
interpunzione	punteggiatura
ammendamento	emendamento
comparsa	apparenza
carne	ciccia
intraprendenza	iniziativa
rete	diodo
sofisticazione	alterazione
carcassa	ossatura
addobbamento	ornamentazione
componente	membro
quarantennale	quarantesimo
conservazione	sopravvivenza
scrofa	porca
tenuità	cauro
modellino	modello
elenco	ruolo
arnese	dispositivo
apprensione	allarme
canto	aria
botta	freccia
guida	conducente
alveo	letto
stabbio	stalla
male	malattia
cachet	compressa
ricordino	memoria
mira	mirino
mammella	tetta
sensazione	sentimento
cardias	cardia
tempo	data
remissività	obbedienza
beccaio	macellaio
defalco	deduzione
vomito	rigurgito
concessore	cortesia
palma	palmo
autostrada	superstrada
esercizio	negozio
inoppugnabilità	incontrovertibilità
sogliola	guisa
corrida	tauromachia
corrente	filone
manifesto	cartello
sepolcro	tomba
guastafeste	tensione
agenzia	ufficio
sovraccoperta	copriletto
donante	datore
grammo	gramma
cerusico	chirurgo
coerenza	consistenza
frutta	frutto
aficionado	habitué
allacciatura	legatura
diramazione	ramificazione
tassa	stima
bretella	traversina
richiamo	rimando
produzione	canna
miau	miao
moloc	impala
luogotenenza	tenenza
lunetta	soprapporta
assiolo	male
pretesto	manto
acquarellista	acquerellista
superiore	generalessa
mazzetta	bustarella
vittima	danneggiato
unicità	singolarità
indicazione	accenno
gruzzolo	risparmio
refettorio	mensa
diffidenza	sfiducia
deformazione	deformità
accomodamento	aggiustamento
ampiezza	voluminosità
cresta	crinale
agenda	memorandum
pipeline	oleodotto
brontolona	megera
team	undici
ciste	cisti
riformatorio	correzionale
drogato	tossico
brusca	striglia
boccone	boccata
potenzialità	potenziale
tenebre	oscurità
figura	figurazione
povero	indigente
signorina	ragazza
cantuccio	angolo
tesoro	gioiello
attaccante	avanti
pula	stoppia
eco	riverbero
disaccordo	discordia
alimentazione	nutrizione
bandierina	gagliardetto
vaschetta	bacinella
strato	mano
traditore	doppiogiochista
papavero	rosolaccio
articolazione	attacco
ricerca	cerca
imbarcadero	pontile
composizione	tipografia
testa	pensiero
retata	pescata
assunto	premessa
madreselva	caprifoglio
putridume	pervertimento
ammaliatore	incantatore
civetta	gufo
asse	assale
anione	letargo
baratto	scambio
manzo	torello
imbotte	intradosso
burattino	fantoccio
saccata	sacco
allungo	passaggio
antemurale	gettata
autenticazione	legalizzazione
bene	buono
amabilità	capricorno
pentatlon	pentathlon
dispensiere	steward
galleggiamento	flottazione
telefonino	cellulare
ammortamento	ammortizzamento
azione	fatto
sviluppo	evoluzione
bestialità	brutalità
compagnia	brigata
estratto	essenza
ancia	linguetta
meteorite	meteoroide
popolazione	gente
proemio	prefazione
ghirlanda	corona
spazzamine	cacciamine
topo	sorcio
onda	flutto
orlatura	bordura
gioco	agio
diniego	nego
squama	scaglia
argomentazione	argomento
rampa	gradinata
chietino	tartufo
vilipendio	spregio
darsena	bacino
giunta	aggiunta
cavallerizzo	cavalcatore
esasperazione	irritazione
gobba	cifosi
epitelioma	epigono
locomotrice	elettromotrice
fuggitivo	fuggiasco
posto	impiego
verbale	resoconto
calunnia	diffamazione
ritrovo	astronave
frullo	brusio
cultura	dottrina
fusione	cartello
leccarda	ghiotta
stecca	gamba
elargizione	offerta
carpino	cappella
purezza	purità
selce	pietrina
addobbo	decorazione
pantano	lessicologia
diboscamento	disboscamento
criterio	senno
soneria	suoneria
pivello	pischello
defoliazione	defogliazione
sollecitazione	incentivo
soggettivismo	soggettività
indennità	rimborso
levriere	veltro
scocciatore	tormento
latitanza	irreperibilità
adattamento	millenario
consigliere	assessore
carnevalata	bisboccia
rumore	suono
citofono	curato
responsabile	capo
riarmamento	riarmo
panoramica	diorama
disapprovazione	riprovazione
rovina	caduta
latteria	cascina
abolizionista	antischiavista
apice	sommità
amore	tesoro
scissura	spaccatura
castrato	evirato
personalità	personaggio
flessibilità	elasticità
durezza	insensibilità
femminino	femminilità
psicanalista	analista
tiroidismo	ipertiroidismo
incremento	accrescimento
affaticamento	fatica
siluro	torpedine
basco	berretto
attenuante	discriminante
casa	abitazione
negro	risurrezione
ottuagenario	ottantenne
bianchetto	decolorante
barile	gabbia
segretario	segretaria
slide	diapositiva
alacrità	laboriosità
pregiudiziale	clausola
esenzione	esonero
purezza	innocenza
giornata	dì
contingenza	carovita
prigionia	reclusione
mercenario	macchinetta
portafortuna	mascotte
governante	reggitore
narcisismo	autocompiacimento
televisione	tivù
bauscia	smargiasso
annuario	almanacco
albergo	hotel
ritaglio	scampolo
astronauta	cosmonauta
valore	eroismo
rimborso	rifusione
preoccupazione	paura
dosaggio	dose
ilio	ileo
eruca	bruco
restrizione	limitazione
finale	occasione
convegno	assemblea
portamento	movenza
taccola	deficit
secco	arsura
sindaco	podestà
inclinometro	clinometro
cavallerizzo	cavaliere
getto	colata
lipoproteina	esagono
lucentezza	appretto
protesta	rimostranza
prete	sacerdote
caricatore	portuale
ellenismo	grecità
meta	obbiettivo
reclusorio	antipatia
irregolarità	anomalia
istruttore	maestro
folclore	folklore
filatoio	filiera
parità	eguaglianza
forza	fibra
inquadratura	fotogramma
municipio	comune
contratto	scrittura
barbecue	grigliata
teurgo	taumaturgo
accordo	affiatamento
urtica	ortica
finale	fine
coniazione	onomaturgia
intonacatura	intonaco
detentore	intestatario
simbolo	segno
perizia	estimazione
ordine	categoria
aspetto	attesa
tirata	boccata
tonsura	chierica
affioramento	emersione
parlatore	parlante
mulinello	molinello
torcia	fiaccola
esercizio	casa
regione	zona
tonico	tonificante
propulsore	elica
dosso	clivo
uppercut	montante
ferraccio	ferraglia
becco	imboccatura
temperino	coltellino
riga	rigo
noto	austro
conclusione	declinare
osmosi	cannoniera
mimica	gesticolazione
cognata	macerazione
analisi	valutazione
rovescia	risvolto
adescamento	fascino
compagno	compagna
agricoltura	agraria
altitudine	quota
frapposizione	interposizione
orafo	gioielliere
gala	festività
riviera	rallentamento
sicofante	confidente
casino	mucchio
rumeno	romeno
qualità	caratteristica
grassone	baciccia
soffitto	cielo
camicia	blusa
posticcio	toupet
lob	pallonetto
mago	illusionista
cittadella	bastione
botto	dualismo
vaccinoterapia	vaccinazione
modello	abitudine
perforamento	perforazione
arsella	vongola
legittimità	legalità
prodotto	produzione
ipnotizzatore	magnetizzatore
foehn	fohn
ricorrenza	anniversario
abitazione	domicilio
rete	porta
ramo	disciplina
recinzione	recinto
aerodromo	aeroporto
tutto	insieme
marinaio	navigante
boccio	occhio
atrocità	efferatezza
eschimese	marranzano
foce	sbocco
guadagno	rendimento
candeliere	bugia
divagazione	excursus
iconoclastia	corollario
collegato	alleato
pallottola	palla
colmo	displuvio
conocchia	rocca
attenzione	avvertenza
orificio	orifizio
alleviamento	alleggerimento
antefissa	condotta
posizione	posto
interscambio	ricambio
tasto	argomento
cartellino	bagnino
annotazione	nota
set	gioco
trapunta	piumino
associazione	aggregazione
anfitrione	ospite
disastro	sciagura
grafia	carattere
colore	colorazione
mastio	maschio
kilowattora	chilowattora
nacchera	madreperla
spettante	dovuto
corpus	corpo
filelleno	opacità
sconfitta	frustrazione
lingua	parlata
pania	amo
ladrone	brigante
cosmografo	geografo
drammaturgia	teatro
dignità	decenza
pareggiamento	bilanciamento
porgitore	portatore
estremo	terzino
collo	balla
mezzogiorno	mezzodì
incoerenza	sconnessione
registro	albo
muggine	cefalo
aula	anfiteatro
avidità	ardore
battuta	servizio
cateratta	chiusa
padrigno	patrigno
capodivisione	caposervizio
onerosità	pesantezza
manifestino	pieghevole
udibilità	dialisi
sfogo	sfiatatoio
selva	foresta
mezzo	cuore
trovatello	esposto
decremento	diminuzione
spettro	fantasma
benedizione	consacrazione
tronco	fusto
battente	anta
conquista	sottomissione
parossismo	crisi
arte	valentia
significato	senso
anziano	nonno
virtù	pregio
tribunale	corte
contrario	inverso
ritrovato	scoperta
vaniloquio	delirio
prostituzione	meretricio
culto	religione
campagnola	fuoristrada
soggetto	alettone
discesa	tuffo
sovrapproduzione	superproduzione
fotografia	veduta
bookmaker	allibratore
furia	veemenza
versione	traduzione
alice	acciuga
spogliatoio	camerino
sfarzosità	magnificenza
piano	progettazione
laberinto	dedalo
lauracee	nunciatura
eredità	retaggio
rinascita	rinascimento
mercante	bottegaio
saluto	salutazione
porcellino	porcello
sopravento	dominio
arenile	piaggia
cicca	mozzicone
incanalamento	canalizzazione
irraggiamento	irradiazione
chiavetta	apriscatole
pettegolezzo	chiacchiera
scollo	scollatura
commediante	impostore
condizione	stato
suggerimento	ispirazione
gomma	colla
domma	credenza
pastore	pecoraio
superattico	attico
beqquadro	bequadro
ego	egotismo
aula	tribunale
pianificazione	sandwich
cattedrale	duomo
offensore	contravventore
collagene	collageno
sufficienza	sufficenza
avarizia	cupidigia
impedimento	impaccio
annunzio	annuncio
telefonata	chiamata
raffinatore	aceto
bisnipote	pronipote
foulard	fazzoletto
beccuccio	becco
proda	ciglione
frosone	frusone
ripercussione	riflesso
villico	paesano
paglietta	canottiera
braca	gamba
rivenditore	dettagliante
lettino	culla
insetto	bestia
mammola	violetta
fraga	fragola
sarcofago	arca
